Target,TAS,Rank,CumProb,AUC,n_binding,p.value
SIK2,2 (100-999 nM),1,0,0.511754068716094,25,0.2995029967596655
SIK2,2 (100-999 nM),23,0.14285714285714285,0.511754068716094,25,0.2995029967596655
SIK2,2 (100-999 nM),29,0.2857142857142857,0.511754068716094,25,0.2995029967596655
SIK2,2 (100-999 nM),40,0.42857142857142855,0.511754068716094,25,0.2995029967596655
SIK2,2 (100-999 nM),57,0.5714285714285714,0.511754068716094,25,0.2995029967596655
SIK2,2 (100-999 nM),59,0.7142857142857143,0.511754068716094,25,0.2995029967596655
SIK2,2 (100-999 nM),68,0.8571428571428571,0.511754068716094,25,0.2995029967596655
SIK2,2 (100-999 nM),75,1,0.511754068716094,25,0.2995029967596655
SIK2,2 (100-999 nM),80,1,0.511754068716094,25,0.2995029967596655
SIK2,3 (1-10 uM),1,0,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),5,0.07142857142857142,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),9,0.14285714285714285,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),13,0.21428571428571427,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),24,0.2857142857142857,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),49,0.35714285714285715,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),51,0.42857142857142855,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),53,0.5,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),55,0.5714285714285714,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),56,0.6428571428571429,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),60,0.7142857142857143,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),61,0.7857142857142857,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),67,0.8571428571428571,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),71,0.9285714285714286,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),72,1,0.49276672694394213,25,0.2995029967596655
SIK2,3 (1-10 uM),80,1,0.49276672694394213,25,0.2995029967596655
SIK2,10 (>10 uM),1,0,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),2,0.06666666666666667,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),3,0.13333333333333333,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),7,0.2,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),11,0.26666666666666666,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),12,0.3333333333333333,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),14,0.4,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),17,0.4666666666666667,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),20,0.5333333333333333,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),38,0.6,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),44,0.6666666666666666,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),45,0.7333333333333333,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),46,0.8,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),54,0.8666666666666667,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),58,0.9333333333333333,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),65,1,0.6987341772151898,25,0.2995029967596655
SIK2,10 (>10 uM),80,1,0.6987341772151898,25,0.2995029967596655
SLK,1 (<100 nM),1,0.1111111111111111,0.5035161744022504,28,0.4412057141075233
SLK,1 (<100 nM),23,0.2222222222222222,0.5035161744022504,28,0.4412057141075233
SLK,1 (<100 nM),29,0.3333333333333333,0.5035161744022504,28,0.4412057141075233
SLK,1 (<100 nM),53,0.4444444444444444,0.5035161744022504,28,0.4412057141075233
SLK,1 (<100 nM),57,0.5555555555555556,0.5035161744022504,28,0.4412057141075233
SLK,1 (<100 nM),60,0.6666666666666666,0.5035161744022504,28,0.4412057141075233
SLK,1 (<100 nM),68,0.7777777777777778,0.5035161744022504,28,0.4412057141075233
SLK,1 (<100 nM),70,0.8888888888888888,0.5035161744022504,28,0.4412057141075233
SLK,1 (<100 nM),75,1,0.5035161744022504,28,0.4412057141075233
SLK,1 (<100 nM),80,1,0.5035161744022504,28,0.4412057141075233
SLK,2 (100-999 nM),1,0,0.7927215189873418,28,0.4412057141075233
SLK,2 (100-999 nM),3,0.125,0.7927215189873418,28,0.4412057141075233
SLK,2 (100-999 nM),5,0.25,0.7927215189873418,28,0.4412057141075233
SLK,2 (100-999 nM),9,0.375,0.7927215189873418,28,0.4412057141075233
SLK,2 (100-999 nM),10,0.5,0.7927215189873418,28,0.4412057141075233
SLK,2 (100-999 nM),24,0.625,0.7927215189873418,28,0.4412057141075233
SLK,2 (100-999 nM),33,0.75,0.7927215189873418,28,0.4412057141075233
SLK,2 (100-999 nM),54,0.875,0.7927215189873418,28,0.4412057141075233
SLK,2 (100-999 nM),67,1,0.7927215189873418,28,0.4412057141075233
SLK,2 (100-999 nM),80,1,0.7927215189873418,28,0.4412057141075233
SLK,3 (1-10 uM),1,0,0.4810126582278481,28,0.4412057141075233
SLK,3 (1-10 uM),12,0.09090909090909091,0.4810126582278481,28,0.4412057141075233
SLK,3 (1-10 uM),13,0.18181818181818182,0.4810126582278481,28,0.4412057141075233
SLK,3 (1-10 uM),38,0.2727272727272727,0.4810126582278481,28,0.4412057141075233
SLK,3 (1-10 uM),47,0.36363636363636365,0.4810126582278481,28,0.4412057141075233
SLK,3 (1-10 uM),51,0.45454545454545453,0.4810126582278481,28,0.4412057141075233
SLK,3 (1-10 uM),55,0.5454545454545454,0.4810126582278481,28,0.4412057141075233
SLK,3 (1-10 uM),56,0.6363636363636364,0.4810126582278481,28,0.4412057141075233
SLK,3 (1-10 uM),61,0.7272727272727273,0.4810126582278481,28,0.4412057141075233
SLK,3 (1-10 uM),63,0.8181818181818182,0.4810126582278481,28,0.4412057141075233
